"","Layout","Spacing","Skewness"
"1","Grid",1,0.158524987000069
"2","Grid",1.5,0.259963536475394
"3","Grid",2,0.334182522315662
"4","Grid",2.5,0.773380765997338
"5","Circle",1,0.157455196695731
"6","Circle",1.5,0.351820724967447
"7","Circle",2,0.575660997822388
"8","Circle",2.5,1.30396779066754
"9","Line",1,0.342555749298685
"10","Line",1.5,0.520627086387554
"11","Line",2,0.72902271045282
"12","Line",2.5,2.22047747180865
"13","Axis",1,0.281115760977213
"14","Axis",1.5,0.297149914787414
"15","Axis",2,0.557553848955139
"16","Axis",2.5,1.32871510800177
