 ,Layout,Spacing,mRB,mRSE,COV,RMSE
1,Grid,1,0.01358,0.10383,0.96,1.82787
2,Grid,1.5,0.01185,0.07891,0.97,1.50374
3,Grid,2,0.00827,0.10198,0.94,2.27262
4,Grid,2.5,-0.04374,0.22283,0.88,4.0895
5,Circle,1,0.00569,0.08508,0.9,2.00634
6,Circle,1.5,0.00894,0.08689,0.97,1.66661
7,Circle,2,-0.01336,0.12539,0.93,2.28127
8,Circle,2.5,-0.08667,0.13738,0.45,5.45067
9,Line,1,0.00187,0.1004,0.96,1.88168
10,Line,1.5,-0.03302,0.12096,0.82,2.83123
11,Line,2,-0.02164,0.12479,0.86,2.91364
12,Line,2.5,-0.18916,0.10978,0.25,5.4391
13,Axis,1,0.00719,0.08854,0.93,1.8726
14,Axis,1.5,0.00306,0.09698,0.93,2.10023
15,Axis,2,-0.01781,0.13167,0.87,2.77282
16,Axis,2.5,-0.03408,0.18684,0.56,5.69304
